date  Agric  Mines  Oil    Stone  Cnstr  Food   Smoke  Txtls  Apprl  Wood   Chair  Paper  Print  Chems  Ptrlm  Rubbr  Lethr  Glass  Metal  MtlPr  Machn  Elctr  Cars   Instr  Manuf  Trans  Phone  TV     Utils  Garbg  Steam  Water  Whlsl  Rtail  Money  Srvc   Govt   Other
192710  -5.80  -4.53  -7.26  -2.22  -0.12  -1.73  -0.32  -2.39   4.56  -4.29  -7.81   2.67   2.63  -5.67  -1.56 -10.48  10.64  -1.25  -7.82  -4.01  -4.14  -8.06  -4.76  -5.81  -3.34  -4.61  -2.10   2.07  -4.34 -99.99 -99.99 -99.99 -21.78  -4.91   4.01   1.74 -99.99   3.89
192711   6.51   8.82  10.38   5.12  -1.30   7.37   6.69   5.11   2.14   3.92   1.30  20.39  16.62   8.46   3.67  12.38   1.99   5.93  12.44  10.59  10.46  10.83   6.84   9.51   7.96   3.92   2.82   6.90   6.32 -99.99 -99.99 -99.99  -1.30  11.75   7.92   3.87 -99.99   0.53
192712  -0.82   6.93   4.15   7.63   7.64   4.58   1.03   2.41  -2.52   0.36  17.93  -6.37   3.27  -0.09   1.19   5.02   1.88  -0.94   5.84   1.94   4.52   1.63   6.84  -3.13  -0.12   0.07   1.33   4.84   2.24 -99.99 -99.99 -99.99  11.45  -0.69  11.17   0.71 -99.99   0.82
192801  -1.89  -2.40   0.08  -2.34   8.29   3.35  -2.56  -1.10   6.89   7.44  -1.36  -1.01   5.16  -0.13  -1.75   3.29   7.21   3.69  -2.42   1.04  -0.25  -1.01  -2.04   0.31  -3.76  -1.25   0.30  -4.92   5.87 -99.99 -99.99 -99.99  -0.95  -0.88   1.48  -0.03 -99.99  16.62
192802   0.43  -3.91  -3.25 -10.76   3.03  -3.62  -5.97  -4.77  -0.75   2.20  -5.82  -0.39  -1.75   0.75  -0.02 -14.51  -3.84   0.63  -2.72   1.58  -1.50  -1.48   0.42   0.87  -2.77  -1.38  -0.31   6.56  -0.68 -99.99 -99.99 -99.99  -8.29  -1.09  -2.90  -0.33 -99.99  -6.54
192803   1.71   6.15   6.63   8.30   3.77   5.95   2.34   7.63   1.37   4.22  19.02   6.28   5.26  12.49   5.29   6.66   6.18   6.50   6.16  10.09   5.25  25.51  24.60   5.39  12.29   5.72   1.96   0.00   6.62 -99.99 -99.99 -99.99   8.12   8.50   9.56   3.91 -99.99  -5.00
192804  -0.28   1.12  12.16  -2.55   2.68   3.27  -5.95  -4.04   6.68  -3.16  -3.96   0.56  21.23   0.11  16.38  -2.84  12.60   3.67   1.43   1.23   3.17   2.74   1.37   2.00   7.12   4.45   3.22   4.31  10.94 -99.99 -99.99 -99.99  -5.85  -0.01   9.19   5.38 -99.99   3.16
192805  -0.78   2.76   0.11  -5.83  19.82   2.10  -0.03  -6.11   0.74   1.59  -2.46   0.24  17.68   3.28  -5.90  -3.05  -2.30  -1.14   5.52   2.90   3.87   1.53   4.95   5.73   1.13  -0.44   6.59  21.64   1.51 -99.99 -99.99 -99.99   7.95   3.80   2.06   0.86 -99.99   4.59
192806  -2.13  -4.61  -7.87  -3.80  -4.86  -4.24  -4.30 -10.61  -9.66   1.33  -8.91  -5.59 -10.78  -2.80  -3.77 -22.75  -5.16  -7.09  -5.84  -4.28  -3.07  -6.07  -3.91  -3.10 -11.97  -3.86  -5.21 -12.88  -3.43 -99.99 -99.99 -99.99  -7.41  -3.38  -9.96  -4.52 -99.99  -0.50
192807  -0.29  -1.55  -0.40   0.28  -2.71   1.26   3.35  -3.70  -1.25   3.29   1.07  -2.96   1.13   2.20   1.23   7.48   1.87   1.08   2.74   4.05   1.59  -1.22   0.73   4.02   1.00  -0.34  -1.28   2.54  -1.24 -99.99 -99.99 -99.99   0.35   5.50   0.33  -0.39 -99.99   2.02
192808   1.68   5.94   2.09   7.12  -0.32   8.86   3.79   1.91   0.58   3.18   9.62  -2.09   6.48   9.82   2.46  14.02  -0.11   7.53   9.63   8.53   7.16  12.26   8.54   2.40  10.52   4.03   4.56   0.69   6.46 -99.99 -99.99 -99.99   4.06  13.64   5.16  11.20 -99.99  -0.99
192809  -0.90   3.24   8.51  -3.67  -0.22   2.08  -0.39   3.57  -2.45   0.78  -1.49   2.42  -2.36   3.57   5.66   6.06  -0.18   9.31   5.58   1.43   4.81   0.57   7.17  -0.79  -0.24   0.32   0.14   1.38   3.76 -99.99 -99.99 -99.99   1.05   0.16   1.83   8.08 -99.99  -0.50
192810   4.73   3.75  -0.89  -5.36   1.92  -1.09   3.44   5.96  -0.71   1.71  27.36 -16.90   5.62   4.54   2.36   3.24  -5.57   5.40   6.51   3.22   1.91   1.95  -0.29   0.72  -5.59  -1.31   2.97   0.75  -1.89 -99.99 -99.99 -99.99  18.25   5.84   2.61   0.76 -99.99  -1.76
192811   1.64  13.27  10.92   9.79   0.71   7.31   6.79   9.09   7.03   3.05  16.08   6.50   1.01  12.10  18.07  16.84  -0.77  11.59  14.90   7.47  14.70  23.12   4.95   5.20   4.18   9.28   6.66  18.09  21.93 -99.99 -99.99 -99.99  11.95  15.34   9.94  11.99 -99.99   7.42
192812  -1.28   0.71 -14.72   3.88   1.97   0.73  -1.92  -5.87  -4.08   4.79  -0.69  -0.41  -0.49   1.72  -4.25  21.59   2.57   4.32   3.84   0.43   6.64   6.63  -0.64  -0.97 -10.67   0.21  -0.37  -4.05   1.57 -99.99 -99.99 -99.99  -3.85  -1.29   1.06  -1.58 -99.99   0.98
192901  11.79   8.35  -8.91  -0.49   0.87   2.49   3.79  -1.22  -0.56   1.91  19.40  13.62   1.52  19.88  -8.07  -0.10  -2.86  10.81   7.78   5.89   9.83  12.37   1.00   2.98   1.53   4.73  13.40  -2.41  13.17 -99.99 -99.99 -99.99  -4.95  -3.86   8.12   8.60 -99.99  -0.97
192902   6.42   8.70  -3.17  -3.67   9.10  -2.92  -4.64   2.35  -3.82  -1.56 -11.73   1.06  -1.49  -0.59  -0.08   2.43  -4.27  -2.87   8.83  -0.15   1.30  -1.20   0.40   1.46  -5.76  -1.46  -1.15  -3.75  -1.99 -99.99 -99.99 -99.99  -3.19  -2.42   0.83   3.33 -99.99   4.90
192903 -10.99   0.69   9.32   6.30  -0.19  -3.63  -4.19  -7.27  -4.45  -4.50 -12.57  -1.05  -7.05  -3.46  12.14   3.18  -5.98 -11.23  -0.07  -1.68  -1.55   5.14  -1.28  -1.96  -7.34  -2.84   4.27  27.27  -3.17 -99.99 -99.99 -99.99  -9.57  -5.09  -1.15  -8.41 -99.99   0.23
192904  -6.44  -6.56  -1.61   2.62  17.63   5.42  -2.41   2.74   7.62  -3.03   1.74  -9.06   1.73   3.42   0.95  -7.75   0.49   2.62   1.15   6.94   4.95   1.05  -0.80   1.42  -9.06   1.32   3.40  -7.14   5.13 -99.99 -99.99 -99.99   3.58   3.76   0.51   1.53 -99.99   3.03
192905  -6.68  -9.04 -13.96 -12.43  -6.38  -5.03  -0.21 -13.86  -6.59  -0.69  -9.37 -15.70   0.31  -7.20  -5.39 -13.40  -6.49 -10.11 -12.41  -6.09  -7.02   0.62 -14.26  -4.47 -13.46   2.47  -8.76 -12.22   4.80 -99.99 -99.99 -99.99  -6.54  -8.66  -3.23  -6.93 -99.99  -5.43
192906  -2.06   2.69   0.02   0.76   3.49   9.55  -0.13   2.50   3.48   0.00  25.01  10.99  10.64  18.14   1.11  10.94   7.42   6.53  10.71  10.35  14.65  19.05   7.22   6.92   6.10   6.00  13.73  -3.80  23.47 -99.99 -99.99 -99.99  -2.97   9.54   6.30   8.63 -99.99   0.99
192907   3.02   2.87   2.35   0.42  -2.57   4.99   2.05  -3.68  -8.25  -6.40  15.14   9.66   0.94   4.72  -0.93  -6.61   0.96  -1.42   3.47   6.57   5.52  10.16  -2.00   3.90   0.47   8.29  13.68   8.55   9.14 -99.99 -99.99 -99.99  -3.01   1.09   8.36  -1.55 -99.99   7.80
192908   1.30   8.43   6.82   5.15   0.49   4.60   8.29   0.26   0.30  -2.71  24.92   6.09   1.50  10.52  11.85  -5.62   1.68   2.96  11.82   6.11   9.63  13.02   2.54   8.07  -2.36   8.31  11.00  -1.84   9.05 -99.99 -99.99 -99.99  -5.79   8.04   5.82   4.40 -99.99   1.36
192909   1.23  -3.47   2.36  -8.27  -1.44  -2.63  -7.62  -3.25  -5.42  -5.57  17.33  -2.40  -1.71  -6.34  -3.12  -5.03  -2.75   0.06  -8.96  -4.61   0.22 -11.41  -9.26  -0.64  -0.20  -7.71  -1.37  -0.62   1.32 -99.99 -99.99 -99.99  -0.66  -5.54  -5.75   6.91 -99.99   4.91
192910  -0.67 -11.63 -20.32  -9.64  -8.37 -16.29   2.32 -21.32  -9.23 -12.43 -46.16   0.71 -12.22 -24.39 -10.05 -24.64  -9.44 -22.50 -15.50 -17.36 -23.90 -30.01 -27.04  -8.99 -26.11  -8.03 -15.39 -10.44 -30.04 -99.99 -99.99 -99.99 -23.20 -23.98 -28.84 -16.28 -99.99 -13.19
192911  -7.36 -13.07  -4.91  -6.65  -2.01  -9.84  -6.20 -15.81  -6.36  -6.60 -11.58  -9.18  -3.36 -15.51  -6.55 -18.28 -14.16 -11.27 -13.83 -13.09 -18.15 -18.21 -16.02 -13.67 -20.17  -7.88  -9.47 -11.43 -14.64 -99.99 -99.99 -99.99  -6.67 -12.40 -13.88 -15.42 -99.99   8.09
192912  -4.88  -3.30  -1.71   0.06   9.96   0.51   2.72  -6.26   8.67   3.25  14.56 -15.25   0.21   5.45  -0.89  -8.39  -1.75   2.71  -0.45   0.32   4.52  12.41   4.60   0.50  -6.97   0.00   1.01   4.84   7.94 -99.99 -99.99 -99.99  -0.81  -6.12  -0.40  -7.11 -99.99  -3.03
193001  -0.86   3.22  -0.54  11.64   0.30   5.40   8.56  10.50   5.05   6.75  -4.04   7.70   2.10   8.00  -0.83  16.31   2.01   9.52   5.69   7.05   8.70  11.16   4.90   8.36  16.28   3.87   1.20   0.23   7.25 -99.99 -99.99 -99.99   3.11   4.70   9.74   9.18 -99.99   1.92
193002  -9.43   0.30   0.12   2.04   7.36   0.93   5.52   5.70  -1.34  16.93 -25.29   1.69   6.92   2.04  -5.14   6.84   0.96  -0.25   0.09   4.11   4.56   7.84   4.00  10.10   3.10   2.09   7.06   8.24   8.57 -99.99 -99.99 -99.99  -4.62  -5.12   5.85  22.32 -99.99   1.89
193003  -0.32   0.77  23.66   5.60   2.16   0.93   4.30  -2.56   6.48   6.35 -22.34   3.89   2.47   9.68  18.98  19.28   8.29   6.38   5.54   4.28   3.89   9.32  10.69   8.12  11.80   3.90   8.79  15.94   9.72 -99.99 -99.99 -99.99  -4.91  -2.40   8.74  14.32 -99.99   6.02
193004   3.92 -13.82  -0.37  -2.99   8.16   2.89  -2.88  -9.88  -3.38   9.12  -3.93  -2.73   0.95  -4.49   7.57 -16.32   1.58  -7.66 -13.38  -4.75   2.90   2.73  -7.61   0.72  -9.44  -7.13  -4.54  15.50   3.34 -99.99 -99.99 -99.99   4.67   2.58  -4.08   5.19 -99.99  -0.44
193005  -3.09   4.12  -3.27  -1.19   1.43   2.26   1.86  -5.77  -3.42  -3.54 -18.90  -4.09  -0.87  -2.27  -3.83   5.88  -5.09  -2.09   0.19  -0.18  -4.60  -4.89   2.59  -3.78  -7.37  -0.44   0.42 -12.09  -1.33 -99.99 -99.99 -99.99  -8.21  -0.02  -5.71  -5.35 -99.99  10.53
193006  -4.76  -8.26  -7.06 -12.55  -4.14 -12.41  -8.86 -18.26 -17.18 -11.53 -33.88 -14.26 -11.97 -17.50 -15.85 -30.26  -6.85 -17.75 -13.23 -19.10 -17.80 -20.22 -21.14 -16.83 -18.93  -9.86  -8.34 -15.00 -19.06 -99.99 -99.99 -99.99 -24.10 -16.13 -21.44 -20.71 -99.99  -2.87
193007   1.17   0.57   1.56  10.73   4.26   3.39   2.93   5.40   8.14   8.35   3.38   0.77   3.65   5.66   5.59   2.45   2.21   4.83   3.41   9.97   3.14   3.93  10.86   5.53   3.13   3.25   1.27   9.41   4.06 -99.99 -99.99 -99.99  -1.26   2.78   4.42   2.36 -99.99  30.53
193008   1.24 -11.23  -6.77   1.57  -3.24   1.77   4.62  -1.45  -7.23  10.09   3.74  -8.40  -2.18   4.24  -3.39  -8.23  -1.94   0.86  -2.46  -2.97   1.51   1.40  -1.34   4.22   3.85   0.32   1.74   0.68   1.18 -99.99 -99.99 -99.99  -7.71   5.25   1.26   3.89 -99.99  -5.08
193009 -11.55  -8.48  -9.57  -7.22 -11.20  -9.93  -8.78 -13.01 -13.62 -20.53 -29.79 -20.27  -3.78 -12.89 -16.07 -17.27  -1.26 -13.34 -11.84 -15.33 -15.34 -20.16 -16.70 -10.68 -11.79  -8.38  -5.27  -2.04 -11.92 -99.99 -99.99 -99.99  -9.65 -10.94 -18.09 -17.01 -99.99  -8.57
193010 -16.08 -12.09  -7.82  -5.85 -21.42  -3.87  -4.74  -3.71 -17.33   1.24 -19.41  -8.16  -6.78 -10.29  -8.20  -6.91  -2.98 -11.02  -8.95  -9.25 -11.57 -18.51 -11.56 -10.14 -13.72  -6.77  -4.13   4.72  -8.28 -99.99 -99.99 -99.99  -6.00  -8.66 -15.34  -7.67 -99.99  -6.25
193011   2.70  -0.16  -4.33   1.42  -6.86   0.95  -0.93  -4.35   6.37   1.11  15.76 -10.96  -2.98  -0.54  -3.38  13.48   0.75  -1.30  -1.30  -0.46  -1.49  -3.52   5.00  -1.98  -4.04  -5.42  -3.27  -6.76  -8.74 -99.99 -99.99 -99.99   2.75   2.74  -8.32  -6.41 -99.99  -7.08
193012 -22.10  -7.83  -9.12 -10.79 -12.19  -3.56  -3.11  -6.14  -7.50   3.54 -14.60 -16.33  -5.02  -4.97 -12.57 -13.60  -7.46 -11.26  -8.76  -9.38  -7.30 -12.11  -3.69 -10.81 -13.23  -7.91  -3.81   2.90  -3.69 -99.99 -99.99 -99.99  -3.94 -13.63 -12.42 -13.05 -99.99  -0.46
193101  15.81   9.37   3.38   7.39  -3.02   4.91   6.43  13.33   2.18   1.50  11.73   9.86   1.78   1.66   4.88  -1.67  -0.61   8.20   3.01   4.97   5.87   5.22   8.37   5.77  11.13  11.59   4.79   5.49   5.53 -99.99 -99.99 -99.99   4.87   7.22  18.59  14.98 -99.99   6.48
193102  13.17   9.24   2.23  12.35  14.61   6.76   6.94  15.44  25.62  32.39  30.71   5.67   2.10  11.53   6.22  18.66  -0.86  10.71  14.35  14.33  12.47  24.97  16.14  11.97  12.98   2.30   5.94   7.82  15.27 -99.99 -99.99 -99.99  -2.05  15.15  17.06   7.37 -99.99   3.48
193103 -10.26  -8.86  -3.41  -6.36   0.38  -2.34   0.22  -3.10  -5.71 -10.54 -25.02  -5.50  -1.61  -5.66 -14.58  -7.25   2.79  -7.47  -7.34  -3.30  -8.08  -7.95  -4.65  -5.80  13.06 -10.44  -3.60   5.36  -2.94 -99.99 -99.99 -99.99  -3.13  -3.34  -8.48  -4.99 -99.99  -2.10
193104  -2.16 -10.41  -7.39 -18.52 -13.32  -9.03   2.69 -12.13 -33.93 -12.79 -16.19 -21.97  -9.81 -10.09 -13.80 -12.37  -3.21 -13.59 -17.27 -10.22 -14.38 -14.65  -9.15  -6.32 -18.62  -7.28  -4.24  -8.50  -9.04 -99.99 -99.99 -99.99  -4.38  -4.82 -15.19 -22.93 -99.99  -2.15
193105  -6.76 -10.76 -17.60 -12.87 -18.31 -12.58 -11.13  -7.56  -9.38   1.92 -14.95  -4.77 -10.67 -11.43 -12.04 -10.34   0.68 -16.63 -20.72 -16.18 -18.71 -11.46 -16.24 -16.48 -11.35 -17.16  -8.94  -8.00 -11.15 -99.99 -99.99 -99.99 -15.20  -3.03 -18.93 -31.06 -99.99   1.32
193106   8.17  11.03   7.81   8.57  13.56  10.74  12.63   8.41   7.06   8.02  29.86  16.50   1.70  16.10  17.57  23.67  12.19  19.53  19.38  14.30  15.22  18.35  15.70  14.73  16.79  16.08  10.21   7.25  11.00 -99.99 -99.99 -99.99   2.79   7.92  23.38  19.88 -99.99  -2.44
193107   0.17  -9.90  -1.58 -11.11 -13.83  -4.36  -3.49  -5.64  -5.24  -4.76  -1.69  -4.51  -3.03  -4.27  -3.02  -6.02  -3.11  -9.99 -15.15 -11.77 -12.50 -10.30  -3.42  -8.17   0.92 -10.47  -4.88   2.57  -5.39 -99.99 -99.99 -99.99  -8.11  -1.41  -8.72  -7.37 -99.99   0.23
193108  -3.69   0.44   3.32   5.63  -0.53   1.96  -3.51   0.31   3.49   1.66   0.14   3.62  -6.23   0.69  10.16  -0.11  -2.98  -1.28   0.56  -2.22  -0.64   3.74  -2.88   4.47  -0.58  -6.80   0.82  -1.01  -1.74 -99.99 -99.99 -99.99   1.37   3.06   0.38   6.36 -99.99   1.36
193109 -35.44 -30.49 -19.82 -35.19 -33.94 -27.85 -21.70 -21.60 -27.39 -34.35 -28.34 -29.73 -22.13 -31.28 -30.05 -34.92  -6.41 -27.02 -27.14 -27.64 -33.74 -34.63 -34.19 -29.17 -28.03 -20.67 -21.56 -17.97 -33.05 -99.99 -99.99 -99.99 -26.12 -30.32 -39.89 -39.14 -99.99  -6.73
193110  -6.80  12.28 -13.68  26.51   1.99  11.88   6.08   2.77  26.20  26.68  17.61   6.93 -17.95   7.64  15.15   2.35  -4.80   1.94   2.07  10.96   9.47  11.84  12.97  10.45   8.64  -3.06   4.33  11.82  10.48 -99.99 -99.99 -99.99   7.37  14.11  11.97  16.02 -99.99  -0.48
193111  -9.25 -18.44  18.13  -4.79 -16.87  -2.81  -6.10 -10.14 -15.67  -1.23 -21.12  -7.32 -10.25  -5.20  -8.84  -9.04   0.23 -11.02 -10.10  -8.99  -6.68 -15.71  -5.04 -10.94  -6.31 -21.32  -6.85 -10.94  -4.77 -99.99 -99.99 -99.99 -17.78  -9.28 -11.10 -26.29 -99.99  -1.93
193112 -16.04 -15.78  -6.91 -12.27 -16.91  -9.99  -6.26  -6.59 -18.87 -18.39 -25.85 -13.38 -21.02  -6.44 -19.06  -4.37 -13.80 -18.01 -25.59 -14.13 -15.28 -14.18  -9.86 -11.63 -22.27 -14.85  -7.92 -18.64 -13.24 -99.99 -99.99 -99.99 -22.33 -15.12 -20.97 -27.91 -99.99  -9.90
193201 -12.46   2.35  -5.67   2.02   2.55  -1.06   8.17   1.05  48.79   7.36   0.57  -4.71  -5.31  -4.19  -5.16 -15.07   0.98  -3.00   3.36  -0.57  -0.24 -13.85  -4.39  -2.44   3.66   7.96  -4.05   9.17  -2.52 -99.99 -99.99 -99.99  -0.28   0.80   3.84  13.68 -99.99  -1.97
193202  25.93  -5.21   6.32   7.52   5.22   6.85   3.28   3.12 -13.87   2.73  10.23   3.06  -1.24   6.96   9.22   5.38   2.81   7.91   5.03  13.40   0.08   8.72   1.78  -3.24   6.68  -4.08  11.66  -5.88   7.04 -99.99 -99.99 -99.99   3.82   4.12  13.57   5.12 -99.99   0.29
193203 -12.34  -6.77  -3.35 -12.45  -9.78  -6.87  -4.51  -3.99  -7.55   3.36 -12.73  -4.76 -11.73 -12.13  -0.58 -15.66  -1.84 -16.81 -16.69 -10.97 -11.24 -17.16 -22.26  -5.25 -13.49 -17.55  -9.91   3.12  -9.57 -99.99 -99.99 -99.99 -43.85  -8.86 -15.18 -18.17 -99.99  -7.74
193204 -15.70 -15.41  13.33 -13.73 -19.08 -12.85  -9.89 -11.65 -12.20 -15.51 -29.71 -13.73 -14.15 -26.69 -14.53  -9.68  -4.31 -13.75 -19.58 -25.68 -20.13 -22.99 -27.19 -30.67 -15.38 -24.94 -12.38 -19.39 -15.50 -99.99 -99.99 -99.99  -4.67 -15.72 -19.22 -19.64 -99.99  -4.66
193205 -36.45  -8.69 -15.46 -25.73 -19.91 -22.38 -21.45 -23.01 -31.95  -1.09 -36.76 -21.72 -26.24 -16.08  -5.06 -20.58  -1.30 -17.25 -22.96 -16.29 -18.45 -33.76 -19.67 -19.41 -21.68 -33.68 -10.80 -14.94 -26.82 -99.99 -99.99 -99.99 -36.62 -29.26 -30.34 -30.69 -99.99 -14.33
193206   8.76 -11.15  11.48  -2.62  -5.90  -0.37   5.85  -4.85  42.92  11.04  11.21   0.18 -22.24  -6.20   6.11   1.98  -7.98  -0.69   2.09   0.42  -3.71  10.00  -4.70   4.85  -1.62  -3.00  -9.55  -9.92   1.45 -99.99 -99.99 -99.99   6.56  -0.68   6.28  -2.23 -99.99   0.40
193207  91.34  47.82  34.46  47.93  27.73  28.12  24.67  30.46 -14.31  14.08  80.53   5.86  45.60  30.36  34.75  37.02 -21.65  32.31  62.13  31.00  36.72  55.12  45.20  14.87  32.14  61.30  16.69  23.73  29.35 -99.99 -99.99 -99.99  16.27  27.26  51.98  52.02 -99.99  28.17
193208  22.49  51.33  21.02  32.72  60.96  24.46  17.60  58.51  90.66  20.54  74.94  48.45  40.45  33.74  17.23  96.85  20.57  40.69  59.10  37.26  47.40  50.49  44.64  27.84  32.55  65.36  28.19   7.04  43.46 -99.99 -99.99 -99.99  57.64  32.74  59.10  49.44 -99.99   0.93
193209 -18.56  -7.35  -3.90   0.66  -8.19  -0.37   0.11 -11.03 -19.08   0.92   9.52 -16.80   0.99   2.42 -10.41 -25.34   4.58   4.20 -10.02   1.23  -4.95  -6.19   9.38  -2.01  -3.01  -2.54   0.24   7.89  -4.65 -99.99 -99.99 -99.99  24.79   2.94  -6.85  -9.14 -99.99  -3.07
193210 -19.37 -12.79  -6.08  -4.97 -23.74  -9.02 -13.98 -12.99 -18.34  -5.36 -35.33  -4.56 -22.53 -15.21  -3.00 -20.84  -7.47 -11.95 -15.78  -9.96 -20.41 -21.33 -24.05  -8.86 -11.70 -19.63  -8.13  -4.88 -10.82 -99.99 -99.99 -99.99 -20.22 -12.58 -17.08 -21.54 -99.99   4.75
193211  13.61  -3.12   0.29  -2.96  -7.96  -7.40  -8.34  -9.63 -16.53  -3.21 -16.45  -5.80  -3.90  -1.51  -4.06  -6.55  -2.81  -7.47 -22.55  -3.52  -6.58  -9.20  -3.52  -3.17  -7.20  -9.57  -1.12   0.00  -3.60 -99.99 -99.99 -99.99 -10.38  -5.58  -3.39  -8.15 -99.99  -4.83
